,lon,lat,capacity_MW,state,type
385,75.715,16.833,34.0,Karnataka,Wind
386,76.858,12.333,78.0,Karnataka,Wind
387,76.858,12.333,78.0,Karnataka,Wind
388,77.460,16.172,5.0,Karnataka,Wind
389,75.715,16.833,10.0,Karnataka,Wind
390,75.715,16.833,10.0,Karnataka,Wind
391,75.715,16.833,39.6,Karnataka,Wind
392,75.715,16.833,79.2,Karnataka,Wind
393,76.124,12.615,2.5,Karnataka,Wind
394,75.354,16.047,60.0,Karnataka,Wind
395,75.688,15.380,24.8,Karnataka,Wind
396,76.706,14.332,8.4,Karnataka,Wind
397,76.189,14.372,37.95,Karnataka,Wind
398,76.142,14.323,36.3,Karnataka,Wind
399,76.254,14.201,51.0,Karnataka,Wind
400,76.254,14.201,12.0,Karnataka,Wind
401,76.322,14.211,51.0,Karnataka,Wind
402,79.36282348632812,22.351898193359375,6.65,Madhya Pradesh,Wind
403,76.31627655029297,14.077016830444336,7.2,Karnataka,Wind
404,76.190,14.372,36.3,Karnataka,Wind
405,75.890,14.652,23.1,Karnataka,Wind
406,75.926,14.025,6.0,Karnataka,Wind
407,76.401,14.222,2.85,Karnataka,Wind
408,76.176,14.137,25.5,Karnataka,Wind
409,74.628,16.410,18.0,Karnataka,Wind
410,76.401,14.222,2.0,Karnataka,Wind
411,76.401,14.222,1.5,Karnataka,Wind
412,75.704,16.831,23.3,Karnataka,Wind
413,75.919,14.454,3.75,Karnataka,Wind
414,75.860,16.106,100.0,Karnataka,Wind
415,76.449,14.093,18.0,Karnataka,Wind
416,75.715,16.833,51.2,Karnataka,Wind
417,75.715,16.833,50.0,Karnataka,Wind
418,76.400,14.222,41.0,Karnataka,Wind
419,75.628,15.429,5.0,Karnataka,Wind
420,75.628,15.429,24.8,Karnataka,Wind
421,75.628,15.429,11.2,Karnataka,Wind
422,75.628,15.429,0.45,Karnataka,Wind
423,75.628,15.429,50.0,Karnataka,Wind
424,75.967,15.732,15.0,Karnataka,Wind
425,76.282,12.909,15.0,Karnataka,Wind
426,76.282,12.909,15.0,Karnataka,Wind
427,77.38361358642578,16.852109909057617,60.0,Karnataka,Wind
428,75.693,13.807,1.25,Karnataka,Wind
429,79.36282348632812,22.351898193359375,1.25,Madhya Pradesh,Wind
430,75.897,14.472,8.4,Karnataka,Wind
431,79.36282348632812,22.351898193359375,1.92,Madhya Pradesh,Wind
432,75.987,14.787,39.6,Karnataka,Wind
433,75.987,14.787,80.0,Karnataka,Wind
434,75.987,14.787,21.25,Karnataka,Wind
435,75.987,14.787,31.25,Karnataka,Wind
436,75.816,14.831,39.6,Karnataka,Wind
437,75.816,14.831,2.5,Karnataka,Wind
438,77.618,12.785,25.2,Karnataka,Wind
439,75.804,14.513,6.6,Karnataka,Wind
440,75.568,15.363,31.2,Karnataka,Wind
441,75.568,15.363,11.2,Karnataka,Wind
442,76.334,14.520,12.0,Karnataka,Wind
443,76.334,14.520,6.65,Karnataka,Wind
444,76.334,14.520,9.0,Karnataka,Wind
445,76.334,14.520,1.9,Karnataka,Wind
446,76.336,14.519,9.0,Karnataka,Wind
447,76.0656967163086,13.26430606842041,12.0,Karnataka,Wind
448,76.400,14.222,7.6,Karnataka,Wind
449,76.400,14.220,14.0,Karnataka,Wind
450,76.401,14.222,4.5,Karnataka,Wind
451,75.688,15.380,2.025,Karnataka,Wind
